BRE,HEA,SEC,INE,FAC,HAS,HAB,SIL,UGL,UNT,UNE,PR,POL,VAX,DIS,EXA,ROB
5,3,6,4,4,1,2,2,2,1,1,4,3,36,0,4,6
7,4,6,6,6,6,7,5,4,3,7,7,2,22,0,0,3
1,1,1,1,1,1,1,1,1,1,1,1,4,33,0,0,0
5,3,1,1,1,1,5,5,5,5,5,5,4,37,0,0,0
4,1,1,1,1,1,1,1,1,1,1,1,7,61,1,3,5
1,1,2,1,1,1,3,1,1,1,1,1,2,14,0,0,4
5,5,4,3,1,1,4,1,1,1,1,1,5,38,0,0,2
3,4,1,2,1,1,4,4,5,3,5,1,7,46,0,0,0
6,1,4,1,4,3,6,4,4,4,4,2,7,35,0,4,0
2,2,1,1,2,1,1,2,2,1,1,2,3,25,0,2,6
6,6,3,2,2,2,1,3,4,4,2,1,3,41,1,1,5
5,4,3,2,2,3,4,2,2,2,2,4,2,29,2,5,5
5,5,5,4,7,3,5,4,4,5,5,5,8,63,0,7,4
6,6,4,4,4,5,5,5,5,4,3,4,2,38,0,3,5
1,5,2,2,2,1,1,1,1,1,1,6,8,47,3,8,12
6,7,5,6,6,5,5,6,5,5,6,6,1,53,7,8,8
3,4,4,2,2,1,1,1,1,1,1,1,4,38,3,6,8
4,4,4,4,4,4,4,4,4,4,4,4,4,38,0,0,4
5,4,6,4,4,5,4,6,4,4,4,6,8,41,3,9,3
6,6,2,2,1,2,6,6,6,6,5,4,8,18,5,4,7
7,7,2,2,2,2,2,2,2,2,2,3,4,39,0,1,1
5,6,6,5,1,5,5,5,5,3,5,4,5,27,0,10,9
3,3,2,1,1,1,1,1,1,1,1,1,1,39,0,0,0
5,5,5,2,2,1,4,7,3,3,4,1,4,32,4,0,2
5,4,7,1,1,3,3,1,1,1,1,1,4,40,1,7,9
1,1,3,1,1,1,2,2,2,2,2,2,4,23,0,0,3
7,7,5,4,4,5,6,4,4,4,4,4,8,50,1,4,6
5,5,2,1,1,2,2,2,1,1,1,1,1,12,1,0,6
3,2,5,6,3,2,2,2,2,2,3,2,5,40,1,9,4
5,2,2,2,2,2,2,1,1,1,1,1,7,29,0,0,1
7,6,7,7,7,7,7,7,7,7,6,6,1,49,10,10,11
3,3,2,2,1,1,1,1,1,1,1,1,4,40,0,0,0
6,1,1,2,2,2,2,1,1,3,2,1,4,44,9,8,9
5,3,2,2,2,2,2,3,3,3,3,3,1,41,3,3,4
4,4,4,4,4,2,2,2,2,2,2,2,7,45,3,5,6
6,4,4,3,3,1,4,1,1,1,1,4,4,23,0,8,7
5,7,7,6,4,1,1,1,1,1,4,1,1,60,0,0,2
5,2,2,3,2,2,3,2,2,2,2,2,5,34,0,0,0
5,5,3,1,2,1,5,4,4,2,4,3,2,27,0,5,8
5,5,3,1,1,1,2,1,1,1,2,1,5,20,0,0,1
6,5,4,5,4,4,5,3,2,2,5,4,8,41,1,2,8
6,6,3,4,3,3,3,3,3,3,3,5,5,42,2,6,9
5,5,4,3,3,4,5,6,4,3,4,2,4,37,0,3,3
7,7,1,1,1,1,1,1,1,1,1,1,4,29,0,0,0
2,2,2,2,2,1,1,2,2,2,2,2,7,35,0,1,5
5,5,4,1,2,1,1,4,4,1,2,1,4,27,0,1,3
6,6,7,7,6,6,7,7,6,4,4,7,7,69,1,12,6
7,4,5,3,6,1,4,4,4,1,4,1,7,48,1,6,3
5,5,1,1,1,2,2,2,1,1,1,1,3,21,0,1,5
1,1,4,4,4,1,1,1,1,1,1,1,4,38,0,0,4
4,5,4,4,4,3,3,4,3,2,3,3,2,40,0,5,6
6,6,4,4,4,7,4,7,7,7,7,7,1,27,4,6,8
2,2,1,1,1,1,1,1,1,1,1,1,4,43,0,0,6
4,4,3,3,3,3,3,3,3,3,3,3,3,45,3,4,4
1,1,2,3,4,1,1,1,1,1,1,1,8,55,1,7,6
7,7,4,1,1,4,1,4,4,7,4,6,8,51,0,2,5
5,5,2,1,1,1,2,2,2,2,2,1,2,31,0,0,3
7,7,7,7,7,7,6,7,7,7,7,7,4,63,3,9,9
2,6,4,3,1,5,5,3,3,4,5,6,7,33,0,9,6
2,5,2,1,1,1,1,1,1,1,1,1,8,46,0,1,0
7,7,7,7,4,7,7,4,4,4,4,7,4,72,1,11,5
5,5,6,3,5,5,4,5,4,4,4,6,4,57,2,7,5
3,2,4,2,2,3,5,5,5,6,6,2,8,35,1,5,4
